UtilityName,UtilityGroup,LineConnected,UomName,UomScale,Description,SampleValues,Formula
DG,SUP,KVAH,Kilo Volt Amp Hour,KVAH,DG | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"4.4, 5.47, 7.78",
DG,SUP,kWh,Kilowatt Hour,kWh,"DG | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","16.75, 15.06, 19.44",
EB,SUP,Current_1,Cuurent,Amp,EB | Phase R Current (Amps) — Current on Phase 1; imbalance across phases indicates a fault condition,"10.79, 62.62, 23.53",
EB,SUP,Current_2,Cuurent,Amp,EB | Phase Y Current (Amps) — Current on Phase 2; imbalance across phases indicates a fault condition,"8.17, 24.26, 17.7",
EB,SUP,Current_3,Cuurent,Amp,EB | Phase B Current (Amps) — Current on Phase 3; imbalance across phases indicates a fault condition,"37.68, 7.25, 15.7",
EB,SUP,FREQ,Freq,Hz,EB | Grid Frequency (Hz) — Should be ~50 Hz in India; deviations indicate grid instability,"49.9, 50.06, 50.05",
EB,SUP,KVA,Kilo Volt Amp,KVA,EB | Apparent Power (KVA) — Total power demand of the unit including both real and reactive components,"20.24, 11.82, 19.35",
EB,SUP,KVA-Sum,Kilo Volt Amp,KVA,EB | Total Apparent Power — Combined real and reactive power demand at that instant,"54.8, 46.58, 51.75",
EB,SUP,KVAH,Kilo Volt Amp Hour,KVAH,EB | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"13.44, 10.13, 2.31",
EB,SUP,KVAH,Kilowatt Hour,kWh,EB | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"13.44, 10.13, 2.31",
EB,SUP,KVAR-Sum,Reactive Power,KVAR,EB | Reactive Power Demand — Current reactive power being drawn; high values indicate need for capacitor bank correction,"20002.7, 19370.79, 12202.42",
EB,SUP,KVARH,Reactive Energy,KVARH,"EB | Reactive Energy — Energy that oscillates without doing real work; caused by motors, compressors and inductive loads","1.31, 0.29, 0.15",
EB,SUP,KVARH (LAG),Kilo Volt Amp Hour,KVAH,"EB | Lagging Reactive Energy (Inductive) — Dominant in restaurants due to refrigeration compressors, exhaust fans and HVAC motors; key driver of poor power factor","1.81, 8.56, 8.28",
EB,SUP,PF,Power Factor,PF,EB | Power Factor — Ratio of kW ÷ KVA; ideal = 1.0; below 0.9 triggers penalty billing from utility,"0.99, 0.95, 0.96",
EB,SUP,VOLTAGE_1-2,Voltage,Volt,EB | Line-to-Line Voltage (Phase 1 to Phase 2) — Should be ~415V in a 3-phase supply system,"406.13, 408.49, 405.45",
EB,SUP,VOLTAGE_2-3,Voltage,Volt,EB | Line-to-Line Voltage (Phase 2 to Phase 3) — Should be ~415V in a 3-phase supply system,"422.59, 420.4, 407.06",
EB,SUP,VOLTAGE_2-3,Kilowatt,kW,EB | Line-to-Line Voltage (Phase 2 to Phase 3) — Should be ~415V in a 3-phase supply system,"422.59, 420.4, 407.06",
EB,SUP,VOLTAGE_3-1,Voltage,Volt,EB | Line-to-Line Voltage (Phase 3 to Phase 1) — Should be ~415V in a 3-phase supply system,"413.26, 409.16, 402.13",
EB,SUP,VTHD_B,Percentage,%,EB | Voltage Total Harmonic Distortion (Phase B) — Power quality indicator; high THD from variable speed drives and inverters,"2.06, 1.7, 2.63",
EB,SUP,VTHD_R,Percentage,%,EB | Voltage Total Harmonic Distortion (Phase R) — Power quality indicator; high THD from variable speed drives and inverters,"1.9, 1.83, 2.59",
EB,SUP,VTHD_Y,Percentage,%,EB | Voltage Total Harmonic Distortion (Phase Y) — Power quality indicator; high THD from variable speed drives and inverters,"2.18, 1.58, 1.51",
EB,SUP,Voltage_1,Voltage,Volt,EB | Phase R Voltage (Volts) — Phase-to-neutral voltage on Phase 1; should be ~230V,"229.97, 236.4, 236.66",
EB,SUP,Voltage_2,Voltage,Volt,EB | Phase Y Voltage (Volts) — Phase-to-neutral voltage on Phase 2; should be ~230V,"230.66, 247.7, 236.51",
EB,SUP,Voltage_3,Voltage,Volt,EB | Phase B Voltage (Volts) — Phase-to-neutral voltage on Phase 3; should be ~230V,"249.14, 241.88, 238.22",
EB,SUP,kW,Kilowatt,kW,EB | Active Power Demand — Instantaneous real power being drawn at any given moment,"0.01, 8.61, 9.66",
EB,SUP,kWh,Kilo Volt Amp Hour,KVAH,"EB | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","11.0, 3.59, 1.53",
EB,SUP,kWh,Kilowatt Hour,kWh,"EB | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","11.0, 3.59, 1.53",
HVAC,UTL,Actuator FB,Percentage,%,HVAC | Actuator Feedback — Percentage opening of the control valve (0–100%); indicates how much the actuator is modulating cooling or heating flow,null,
HVAC,UTL,Comp RHT,Run Time Min,Min,HVAC | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"20.0, 24.0, 20.0",
HVAC,UTL,Comp Status,Number,Num,"HVAC | Compressor Status — Operating state of the compressor (1 = Running, 0 = Stopped); tracks uptime and on/off cycles","1.0, 1.0, 1.0",
HVAC,UTL,Comp Status,Status,ON/OFF,"HVAC | Compressor Status — Operating state of the compressor (1 = Running, 0 = Stopped); tracks uptime and on/off cycles","1.0, 1.0, 1.0",
HVAC,UTL,Comp_1 Status,Status,ON/OFF,"HVAC | Compressor 1 Status — Operating state of Compressor 1 (1 = Running, 0 = Stopped)",null,
HVAC,UTL,Comp_2 Status,Status,ON/OFF,"HVAC | Compressor 2 Status — Operating state of Compressor 2 (1 = Running, 0 = Stopped)",null,
HVAC,UTL,Comp_3 Status,Status,ON/OFF,"HVAC | Compressor 3 Status — Operating state of Compressor 3 (1 = Running, 0 = Stopped)",null,
HVAC,UTL,Compressor  3 RHT,Run Time Min,Min,HVAC | Compressor 3 Run Hours Today — Daily runtime of Compressor 3; used for load balancing and maintenance scheduling,"20.0, 21.0, 21.0",
HVAC,UTL,Compressor 1 RHT,Run Time Min,Min,HVAC | Compressor 1 Run Hours Today — Daily runtime of Compressor 1; used for load balancing and maintenance scheduling,"20.0, 20.0, 19.0",
HVAC,UTL,Compressor 2 RHT,Run Time Min,Min,HVAC | Compressor 2 Run Hours Today — Daily runtime of Compressor 2; used for load balancing and maintenance scheduling,"20.0, 21.0, 19.0",
HVAC,UTL,Cooling Status,Number,Num,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0",
HVAC,UTL,Cooling Status,Status,ON/OFF,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0",
HVAC,UTL,Delta T Air,Temperature,°C,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"13.9, 11.1, 14.7",
HVAC,UTL,DeltaT Air,Temperature,°C,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"0.7, 1.6, 3.2",
HVAC,UTL,Filter Pressure,Differential Pressure,Pa,HVAC | Filter Differential Pressure (Pa) — Pressure drop across the air filter; rising values indicate a clogged filter and reduced airflow efficiency,"30.8, 20.6, 62.2",
HVAC,UTL,KVA,Kilo Volt Amp,KVA,HVAC | Apparent Power (KVA) — Total power demand of the unit including both real and reactive components,"10.21, 12.67, 19.91",
HVAC,UTL,KVAH,Kilo Volt Amp Hour,KVAH,HVAC | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"3.65, 0.83, 2.18",
HVAC,UTL,Manual Counter,Count,No,"HVAC | Manual Counter — Counts manual events or operations (e.g. door opens, manual resets); used for activity and intervention tracking","1.0, 1.0, 1.0",
HVAC,UTL,PF,Power Factor,PF,HVAC | Power Factor — Ratio of kW ÷ KVA; ideal = 1.0; below 0.9 triggers penalty billing from utility,"0.66, 0.67, 0.51",
HVAC,UTL,Return Air Temp,Temperature,°C,HVAC | Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"27.2, 28.8, 29.0",
HVAC,UTL,Set Temp,Temperature,°C,HVAC | Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 24.0",
HVAC,UTL,Status FB,Number,Num,"HVAC | Status Feedback — Actual operating status reported back from the unit (1 = Active, 0 = Inactive); confirms that control commands were executed correctly","1.0, 1.0, 1.0",
HVAC,UTL,Status FB,Status,ON/OFF,"HVAC | Status Feedback — Actual operating status reported back from the unit (1 = Active, 0 = Inactive); confirms that control commands were executed correctly","1.0, 1.0, 1.0",
HVAC,UTL,Supply Air Temp,Temperature,°C,HVAC | Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"15.5, 16.3, 25.1",
HVAC,UTL,Unit RHT,Run Time Min,Min,HVAC | Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"21.0, 3.0, 20.0",
HVAC,UTL,Unit Status,Number,Num,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0",
HVAC,UTL,Unit Status,Status,ON/OFF,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0",
HVAC,UTL,kW,Kilowatt,kW,HVAC | Active Power Demand — Instantaneous real power being drawn at any given moment,"0.22, 12.37, 8.29",
HVAC,UTL,kWh,Kilowatt Hour,kWh,"HVAC | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.2, 0.43, 0.27",
Kitchen_Equip,UTL,KVA,Kilo Volt Amp,KVA,Kitchen_Equip | Apparent Power (KVA) — Total power demand of the unit including both real and reactive components,"13.19, 12.75, 12.56",
Kitchen_Equip,UTL,KVAH,Kilo Volt Amp Hour,KVAH,Kitchen_Equip | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"0.77, 4.22, 4.37",
Kitchen_Equip,UTL,PF,Power Factor,PF,Kitchen_Equip | Power Factor — Ratio of kW ÷ KVA; ideal = 1.0; below 0.9 triggers penalty billing from utility,"0.95, 0.95, 0.95",
Kitchen_Equip,UTL,kW,Kilowatt,kW,Kitchen_Equip | Active Power Demand — Instantaneous real power being drawn at any given moment,"15.22, 6.04, 14.37",
Kitchen_Equip,UTL,kWh,Kilowatt Hour,kWh,"Kitchen_Equip | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.7, 2.98, 7.42",
LPG,UTL,LPG Total,Kilograms,Kgs,LPG | LPG Total Consumption — Cumulative total LPG gas consumed; used for monthly billing reconciliation and gas supply planning,"0.44, 0.15, 0.12",
LPG,UTL,Temperature,Temperature,°C,LPG | Temperature Reading (°C) — Ambient or cold room temperature; used for refrigeration and kitchen area monitoring,null,
Munter Ctrl,UTL,AC Status,Status,ON/OFF,"Munter Ctrl | Air Conditioning Status — Operating state of the AC unit (1 = On, 0 = Off); used for runtime tracking and fault detection",null,
Munter Ctrl,UTL,Ambient Humidity,Humidity,%RH,Munter Ctrl | Ambient Relative Humidity (%) — Moisture level in the surrounding unconditioned environment; high ambient humidity increases the HVAC cooling load,"70.9, 50.2, 55.8",
Munter Ctrl,UTL,Ambient Temperature,Humidity,%RH,Munter Ctrl | Ambient Temperature (°C) — Outdoor or unconditioned space temperature; reference point for measuring HVAC cooling load and efficiency,"26.3, 27.2, 24.0",
Munter Ctrl,UTL,Ambient Temperature,Temperature,°C,Munter Ctrl | Ambient Temperature (°C) — Outdoor or unconditioned space temperature; reference point for measuring HVAC cooling load and efficiency,"26.3, 27.2, 24.0",
Munter Ctrl,UTL,Comp RHT,Run Time Min,Min,Munter Ctrl | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"15.0, 23.0, 20.0",
Munter Ctrl,UTL,Comp Status,Status,ON/OFF,"Munter Ctrl | Compressor Status — Operating state of the compressor (1 = Running, 0 = Stopped); tracks uptime and on/off cycles","1.0, 1.0, 1.0",
Munter Ctrl,UTL,Humidity,Humidity,%RH,Munter Ctrl | Relative Humidity (%) — Moisture level inside the controlled space; critical for food safety compliance and kitchen environment standards,"58.1, 71.7, 40.0",
Munter Ctrl,UTL,Munter RHT,Run Time Min,Min,Munter Ctrl | Munter Unit Run Hours Today — Total hours the Munter climate controller has operated today; used for maintenance scheduling,"11.0, 21.0, 24.0",
Munter Ctrl,UTL,Munter Status,Status,ON/OFF,"Munter Ctrl | Munter Unit Status — Operating state of the Munter climate control unit (1 = Running, 0 = Stopped)","1.0, 1.0, 1.0",
Munter Ctrl,UTL,Running_Time,Run Time Min,Min,Munter Ctrl | Running Time — Accumulated operating duration of the unit; used to track total runtime and trigger preventive maintenance intervals,"21.0, 21.0, 21.0",
Munter Ctrl,UTL,Set Humidity,Humidity,%RH,Munter Ctrl | Set Point Humidity (%) — Target relative humidity programmed for the climate controller; deviation indicates the unit is not meeting environmental requirements,"95.0, 99.0, 98.0",
Munter Ctrl,UTL,Set Temp,Temperature,°C,Munter Ctrl | Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 30.0, 24.0",
Munter Ctrl,UTL,Temperature,Temperature,°C,Munter Ctrl | Temperature Reading (°C) — Ambient or cold room temperature; used for refrigeration and kitchen area monitoring,"28.3, 24.0, 30.3",
Munter Ctrl,UTL,Unit Status,Status,ON/OFF,"Munter Ctrl | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0",
Water,UTL,Water Flow,FLow,Ltrs,Water | Water Flow Volume — Total volume of water consumed through the meter; tracked for water efficiency monitoring and utility billing,"0.8, 4.5, 0.9",
Water Monitor,UTL,Water Flow,FLow,Ltrs,Water Monitor | Water Flow Volume — Total volume of water consumed through the meter; tracked for water efficiency monitoring and utility billing,"16.0, 743.0, 35.0",
